code,name,url
KHA,KHA-Đại Học Kinh Tế Quốc Dân,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html
BKA,BKA-Đại Học Bách Khoa Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bach-khoa-ha-noi-BKA.html
HTC,HTC-Học Viện Tài chính,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-tai-chinh-HTC.html
NHH,NHH-Học Viện Ngân Hàng,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ngan-hang-NHH.html
NTH,NTH-Trường Đại học Ngoại thương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-thuong-co-so-phia-bac-NTH.html
QSB,QSB-Trường Đại Học Bách Khoa HCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bach-khoa-hcm-QSB.html
YHB,YHB-Trường Đại Học Y Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-ha-noi-YHB.html
BVH,BVH-Học Viện Công Nghệ Bưu Chính Viễn Thông,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-bac-BVH.html
SPH,SPH-Trường Đại Học Sư Phạm Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ha-noi-SPH.html
TMU,TMU-Trường Đại Học Thương Mại,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thuong-mai-TMU.html
SPS,SPS-Trường Đại Học Sư Phạm TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-tphcm-SPS.html
YDS,YDS-Đại Học Y Dược TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-tphcm-YDS.html
QHI,QHI-Trường Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi-QHI.html
HNM,HNM-Trường Đại học Thủ Đô Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thu-do-ha-noi-HNM.html
GHA,GHA-Trường Đại Học Giao Thông Vận Tải,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-giao-thong-van-tai-co-so-phia-bac-GHA.html
YTB,YTB-Trường Đại Học Y Dược Thái Bình,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-thai-binh-YTB.html
KMA,KMA-Học Viện Kỹ Thuật Mật Mã,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ky-thuat-mat-ma-KMA.html
DCN,DCN-Trường Đại Học Công Nghiệp Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-ha-noi-DCN.html
YPB,YPB-Trường Đại Học Y Dược Hải Phòng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-hai-phong-YPB.html
IUH,IUH-Trường Đại Học Công Nghiệp TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-tphcm-IUH.html
HPN,HPN-Học Viện Phụ Nữ Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-phu-nu-viet-nam-HPN.html
DKH,DKH-Trường Đại Học Dược Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-duoc-ha-noi-DKH.html
ANH,ANH-Học Viện An Ninh Nhân Dân,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-an-ninh-nhan-dan-ANH.html
DKY,DKY-Trường Đại Học Kỹ Thuật Y Tế Hải Dương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ky-thuat-y-te-hai-duong-DKY.html
GTS,GTS-Trường Đại Học Giao Thông Vận Tải TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-giao-thong-van-tai-tphcm-GTS.html
HYD,HYD-Học Viện Y Dược Học Cổ Truyền Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-y-duoc-hoc-co-truyen-viet-nam-HYD.html
CSH,CSH-Học Viện Cảnh Sát Nhân Dân,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-canh-sat-nhan-dan-CSH.html
DKK,DKK-Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-ky-thuat-cong-nghiep-DKK.html
DCT,DCT-Trường Đại Học Công Thương TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-thuong-tphcm-DCT.html
LAH,Đại học Trần Quốc Tuấn,https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-luc-quan-1-dai-hoc-tran-quoc-tuan-LAH.html
HQH,HQH-Học Viện Hải Quân,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-hai-quan-HQH.html
HHK,HHK-Học Viện Hàng không Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-hang-khong-viet-nam-HHK.html
PKA,PKA-Đại Học Phenikaa,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phenikaa-PKA.html
PKH,PKH-Học Viện Phòng Không – Không Quân,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-phong-khong-khong-quan-PKH.html
CSS,CSS-Trường Đại Học Cảnh Sát Nhân Dân,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-canh-sat-nhan-dan-CSS.html
TTH,Đại Học Thông Tin Liên Lạc,https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-thong-tin-he-quan-su-dai-hoc-thong-tin-lien-lac-TTH.html
NHF,NHF-Trường Đại Học Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ha-noi-NHF.html
KQH,Hệ Quân sự,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ky-thuat-quan-su-he-quan-su-KQH.html
YTC,YTC-Trường Đại Học Y Tế Công Cộng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-te-cong-cong-YTC.html
HQT,HQT-Học Viện Ngoại Giao,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ngoai-giao-HQT.html
ANS,ANS-Trường Đại Học An Ninh Nhân Dân,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-an-ninh-nhan-dan-ANS.html
YCT,YCT-Trường Đại Học Y Dược Cần Thơ,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-can-tho-YCT.html
TDM,TDM-Trường Đại học Thủ Dầu Một,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thu-dau-mot-TDM.html
TYS,TYS-Trường Đại Học Y Khoa Phạm Ngọc Thạch,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-khoa-pham-ngoc-thach-TYS.html
DTL,DTL-Trường Đại Học Thăng Long,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thang-long-DTL.html
TLA,TLA-Trường Đại Học Thủy Lợi,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thuy-loi-co-so-1-TLA.html
QST,QST-Trường Đại Học Khoa Học Tự Nhiên TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-tu-nhien-tphcm-QST.html
VHH,VHH-Trường Đại Học Văn Hóa Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-hoa-ha-noi-VHH.html
DTT,DTT-Trường Đại Học Tôn Đức Thắng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ton-duc-thang-DTT.html
HVN,HVN-Học Viện Nông Nghiệp Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-nong-nghiep-viet-nam-HVN.html
QHX,QHX-Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-ha-noi-QHX.html
LPH,LPH-Trường Đại Học Luật Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-luat-ha-noi-LPH.html
QHF,ĐH Quốc gia Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-ngu-ha-noi-QHF.html
HBT,HBT-Học viện Báo chí và Tuyên truyền,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-bao-chi-va-tuyen-truyen-HBT.html
QHT,QHT-Trường Đại Học Khoa Học Tự Nhiên Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-ha-noi-QHT.html
QHE,ĐHQG Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-ha-noi-QHE.html
QSX,QSX-Trường Đại Học Khoa Học Xã Hội và Nhân Văn TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-tphcm-QSX.html
DTS,DTS-Đại Học Sư Phạm Thái Nguyên,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-thai-nguyen-DTS.html
